part_id,material,features,tolerance,batch_size,operations
P001,Aluminum,Chamfer,0.02mm,260,Facing;Drilling;Milling;Inspection
P002,Aluminum,Chamfer;Groove;Hole,0.1mm,442,Facing;Drilling;Milling;Inspection
P003,Aluminum,Slot,0.1mm,626,Facing;Drilling;Milling;Inspection
P004,Steel,Chamfer;Groove;Pocket,0.01mm,469,Facing;Center_Drilling;Drilling;Reaming;Inspection
P005,Aluminum,Chamfer,0.05mm,358,Facing;Drilling;Milling;Inspection
P006,Steel,Hole;Chamfer,0.05mm,109,Facing;Center_Drilling;Drilling;Reaming;Inspection
P007,Titanium,Thread;Hole;Pocket,0.1mm,137,Facing;Drilling;Grinding;Deburring;Inspection
P008,Brass,Groove,0.02mm,859,Turning;Threading;Chamfering;Inspection
P009,Titanium,Slot;Hole;Groove,0.01mm,801,Facing;Drilling;Grinding;Inspection
P010,Aluminum,Hole,0.05mm,294,Facing;Drilling;Milling;Inspection
P011,Titanium,Thread,0.02mm,224,Facing;Drilling;Grinding;Inspection
P012,Aluminum,Chamfer;Slot;Groove,0.01mm,483,Facing;Drilling;Milling;Inspection
P013,Plastic,Chamfer,0.02mm,873,Milling;Drilling;Deburring;Deburring;Inspection
P014,Aluminum,Hole,0.02mm,420,Facing;Drilling;Milling;Inspection
P015,Steel,Chamfer;Thread;Slot,0.05mm,415,Facing;Center_Drilling;Drilling;Reaming;Inspection
P016,Brass,Thread,0.01mm,262,Turning;Threading;Chamfering;Inspection
P017,Plastic,Chamfer;Groove,0.05mm,929,Milling;Drilling;Deburring;Inspection
P018,Titanium,Slot,0.1mm,515,Facing;Drilling;Grinding;Inspection
P019,Aluminum,Slot,0.01mm,821,Facing;Drilling;Milling;Inspection
P020,Plastic,Pocket,0.05mm,620,Milling;Drilling;Deburring;Deburring;Inspection
P021,Plastic,Groove;Hole,0.005mm,708,Milling;Drilling;Deburring;Deburring;Inspection
P022,Titanium,Thread;Hole;Chamfer,0.05mm,171,Facing;Drilling;Grinding;Inspection
P023,Titanium,Slot;Groove;Hole,0.02mm,871,Facing;Drilling;Grinding;Inspection
P024,Plastic,Slot,0.02mm,790,Milling;Drilling;Deburring;Inspection
P025,Plastic,Groove,0.02mm,510,Milling;Drilling;Deburring;Inspection
P026,Titanium,Slot;Hole,0.01mm,909,Facing;Drilling;Grinding;Inspection
P027,Aluminum,Chamfer,0.05mm,845,Facing;Drilling;Milling;Inspection
P028,Plastic,Slot,0.05mm,979,Milling;Drilling;Deburring;Inspection
P029,Titanium,Groove;Pocket;Slot,0.1mm,783,Facing;Drilling;Grinding;Deburring;Inspection
P030,Steel,Thread;Pocket;Chamfer,0.05mm,931,Facing;Center_Drilling;Drilling;Reaming;Inspection
P031,Aluminum,Slot,0.005mm,356,Facing;Drilling;Milling;Inspection
P032,Plastic,Groove,0.01mm,17,Milling;Drilling;Deburring;Inspection
P033,Aluminum,Hole,0.005mm,890,Facing;Drilling;Milling;Inspection
P034,Plastic,Thread,0.05mm,229,Milling;Drilling;Deburring;Inspection
P035,Plastic,Pocket;Slot;Chamfer,0.05mm,204,Milling;Drilling;Deburring;Inspection
P036,Brass,Pocket;Chamfer,0.05mm,894,Turning;Threading;Chamfering;Inspection
P037,Aluminum,Pocket,0.02mm,829,Facing;Drilling;Milling;Deburring;Inspection
P038,Steel,Slot,0.1mm,469,Facing;Center_Drilling;Drilling;Reaming;Inspection
P039,Steel,Pocket;Slot,0.005mm,463,Facing;Center_Drilling;Drilling;Reaming;Inspection
P040,Plastic,Hole,0.1mm,866,Milling;Drilling;Deburring;Inspection
P041,Aluminum,Slot,0.05mm,507,Facing;Drilling;Milling;Inspection
P042,Brass,Slot,0.05mm,12,Turning;Threading;Chamfering;Inspection
P043,Titanium,Thread;Pocket,0.1mm,687,Facing;Drilling;Grinding;Deburring;Inspection
P044,Steel,Thread,0.01mm,69,Facing;Center_Drilling;Drilling;Reaming;Inspection
P045,Plastic,Chamfer,0.02mm,68,Milling;Drilling;Deburring;Inspection
P046,Brass,Groove;Slot;Hole,0.1mm,92,Turning;Threading;Chamfering;Inspection
P047,Aluminum,Hole;Slot;Pocket,0.005mm,974,Facing;Drilling;Milling;Deburring;Inspection
P048,Steel,Groove;Hole;Chamfer,0.05mm,683,Facing;Center_Drilling;Drilling;Reaming;Inspection
P049,Plastic,Thread;Slot,0.02mm,254,Milling;Drilling;Deburring;Inspection
P050,Steel,Chamfer;Thread;Pocket,0.02mm,961,Facing;Center_Drilling;Drilling;Reaming;Inspection
P051,Aluminum,Pocket,0.1mm,586,Facing;Drilling;Milling;Deburring;Inspection
P052,Aluminum,Slot;Groove;Thread,0.01mm,965,Facing;Drilling;Milling;Inspection
P053,Aluminum,Thread,0.02mm,171,Facing;Drilling;Milling;Inspection
P054,Plastic,Thread;Groove;Hole,0.1mm,316,Milling;Drilling;Deburring;Deburring;Inspection
P055,Aluminum,Thread,0.005mm,921,Facing;Drilling;Milling;Inspection
P056,Plastic,Thread,0.02mm,629,Milling;Drilling;Deburring;Inspection
P057,Titanium,Chamfer,0.02mm,527,Facing;Drilling;Grinding;Inspection
P058,Aluminum,Chamfer,0.05mm,859,Facing;Drilling;Milling;Inspection
P059,Aluminum,Slot;Thread,0.01mm,769,Facing;Drilling;Milling;Inspection
P060,Brass,Hole;Chamfer;Groove,0.01mm,568,Turning;Threading;Chamfering;Inspection
P061,Titanium,Groove;Slot;Pocket,0.01mm,52,Facing;Drilling;Grinding;Inspection
P062,Aluminum,Slot;Chamfer,0.005mm,372,Facing;Drilling;Milling;Deburring;Inspection
P063,Brass,Chamfer;Slot;Groove,0.01mm,829,Turning;Threading;Chamfering;Inspection
P064,Brass,Slot,0.02mm,811,Turning;Threading;Chamfering;Inspection
P065,Steel,Slot;Hole,0.05mm,903,Facing;Center_Drilling;Drilling;Reaming;Inspection
P066,Brass,Slot,0.05mm,368,Turning;Threading;Chamfering;Inspection
P067,Steel,Hole,0.01mm,418,Facing;Center_Drilling;Drilling;Reaming;Inspection
P068,Aluminum,Thread;Groove,0.05mm,705,Facing;Drilling;Milling;Deburring;Inspection
P069,Plastic,Hole;Chamfer,0.02mm,192,Milling;Drilling;Deburring;Inspection
P070,Titanium,Hole,0.1mm,454,Facing;Drilling;Grinding;Inspection
P071,Titanium,Groove;Chamfer,0.005mm,404,Facing;Drilling;Grinding;Deburring;Inspection
P072,Steel,Hole;Pocket,0.005mm,542,Facing;Center_Drilling;Drilling;Reaming;Inspection
P073,Plastic,Chamfer;Slot;Thread,0.05mm,81,Milling;Drilling;Deburring;Deburring;Inspection
P074,Titanium,Thread;Hole;Chamfer,0.1mm,326,Facing;Drilling;Grinding;Inspection
P075,Titanium,Chamfer;Thread,0.1mm,140,Facing;Drilling;Grinding;Inspection
P076,Brass,Chamfer;Slot;Thread,0.05mm,571,Turning;Threading;Chamfering;Inspection
P077,Titanium,Slot;Pocket,0.1mm,631,Facing;Drilling;Grinding;Inspection
P078,Brass,Pocket;Slot,0.1mm,494,Turning;Threading;Chamfering;Inspection
P079,Steel,Hole;Thread;Groove,0.005mm,848,Facing;Center_Drilling;Drilling;Reaming;Inspection
P080,Steel,Thread;Slot;Groove,0.01mm,35,Facing;Center_Drilling;Drilling;Reaming;Inspection
P081,Brass,Hole;Pocket;Groove,0.1mm,209,Turning;Threading;Chamfering;Inspection
P082,Brass,Pocket;Slot,0.01mm,681,Turning;Threading;Chamfering;Inspection
P083,Aluminum,Slot;Chamfer,0.1mm,485,Facing;Drilling;Milling;Inspection
P084,Steel,Pocket,0.01mm,830,Facing;Center_Drilling;Drilling;Reaming;Inspection
P085,Plastic,Groove;Thread;Pocket,0.1mm,844,Milling;Drilling;Deburring;Deburring;Inspection
P086,Plastic,Groove;Pocket,0.01mm,771,Milling;Drilling;Deburring;Deburring;Inspection
P087,Brass,Slot;Thread,0.1mm,506,Turning;Threading;Chamfering;Inspection
P088,Titanium,Hole;Thread,0.01mm,288,Facing;Drilling;Grinding;Inspection
P089,Plastic,Slot,0.01mm,246,Milling;Drilling;Deburring;Inspection
P090,Steel,Slot;Hole;Pocket,0.05mm,348,Facing;Center_Drilling;Drilling;Reaming;Inspection
P091,Brass,Slot,0.05mm,408,Turning;Threading;Chamfering;Inspection
P092,Plastic,Hole;Groove;Pocket,0.05mm,16,Milling;Drilling;Deburring;Deburring;Inspection
P093,Titanium,Pocket;Groove,0.1mm,829,Facing;Drilling;Grinding;Inspection
P094,Steel,Slot;Thread,0.05mm,507,Facing;Center_Drilling;Drilling;Reaming;Inspection
