part_id,material,features,tolerance,batch_size,operations,material_encoded,tolerance_score,feat_Hole,feat_Slot,feat_Thread,feat_Pocket,feat_Groove,feat_Chamfer,label
P001,Aluminum,Chamfer,0.02mm,260,Facing;Drilling;Milling;Inspection,0,3,0,0,0,0,0,1,4
P002,Aluminum,Chamfer;Groove;Hole,0.1mm,442,Facing;Drilling;Milling;Inspection,0,1,1,0,0,0,1,1,4
P003,Aluminum,Slot,0.1mm,626,Facing;Drilling;Milling;Inspection,0,1,0,1,0,0,0,0,4
P004,Steel,Chamfer;Groove;Pocket,0.01mm,469,Facing;Center_Drilling;Drilling;Reaming;Inspection,3,4,0,0,0,1,1,1,0
P005,Aluminum,Chamfer,0.05mm,358,Facing;Drilling;Milling;Inspection,0,2,0,0,0,0,0,1,4
P006,Steel,Hole;Chamfer,0.05mm,109,Facing;Center_Drilling;Drilling;Reaming;Inspection,3,2,1,0,0,0,0,1,0
P007,Titanium,Thread;Hole;Pocket,0.1mm,137,Facing;Drilling;Grinding;Deburring;Inspection,4,1,1,0,1,1,0,0,1
P008,Brass,Groove,0.02mm,859,Turning;Threading;Chamfering;Inspection,1,3,0,0,0,0,1,0,7
P009,Titanium,Slot;Hole;Groove,0.01mm,801,Facing;Drilling;Grinding;Inspection,4,4,1,1,0,0,1,0,2
P010,Aluminum,Hole,0.05mm,294,Facing;Drilling;Milling;Inspection,0,2,1,0,0,0,0,0,4
P011,Titanium,Thread,0.02mm,224,Facing;Drilling;Grinding;Inspection,4,3,0,0,1,0,0,0,2
P012,Aluminum,Chamfer;Slot;Groove,0.01mm,483,Facing;Drilling;Milling;Inspection,0,4,0,1,0,0,1,1,4
P013,Plastic,Chamfer,0.02mm,873,Milling;Drilling;Deburring;Deburring;Inspection,2,3,0,0,0,0,0,1,5
P014,Aluminum,Hole,0.02mm,420,Facing;Drilling;Milling;Inspection,0,3,1,0,0,0,0,0,4
P015,Steel,Chamfer;Thread;Slot,0.05mm,415,Facing;Center_Drilling;Drilling;Reaming;Inspection,3,2,0,1,1,0,0,1,0
P016,Brass,Thread,0.01mm,262,Turning;Threading;Chamfering;Inspection,1,4,0,0,1,0,0,0,7
P017,Plastic,Chamfer;Groove,0.05mm,929,Milling;Drilling;Deburring;Inspection,2,2,0,0,0,0,1,1,6
P018,Titanium,Slot,0.1mm,515,Facing;Drilling;Grinding;Inspection,4,1,0,1,0,0,0,0,2
P019,Aluminum,Slot,0.01mm,821,Facing;Drilling;Milling;Inspection,0,4,0,1,0,0,0,0,4
P020,Plastic,Pocket,0.05mm,620,Milling;Drilling;Deburring;Deburring;Inspection,2,2,0,0,0,1,0,0,5
P021,Plastic,Groove;Hole,0.005mm,708,Milling;Drilling;Deburring;Deburring;Inspection,2,5,1,0,0,0,1,0,5
P022,Titanium,Thread;Hole;Chamfer,0.05mm,171,Facing;Drilling;Grinding;Inspection,4,2,1,0,1,0,0,1,2
P023,Titanium,Slot;Groove;Hole,0.02mm,871,Facing;Drilling;Grinding;Inspection,4,3,1,1,0,0,1,0,2
P024,Plastic,Slot,0.02mm,790,Milling;Drilling;Deburring;Inspection,2,3,0,1,0,0,0,0,6
P025,Plastic,Groove,0.02mm,510,Milling;Drilling;Deburring;Inspection,2,3,0,0,0,0,1,0,6
P026,Titanium,Slot;Hole,0.01mm,909,Facing;Drilling;Grinding;Inspection,4,4,1,1,0,0,0,0,2
P027,Aluminum,Chamfer,0.05mm,845,Facing;Drilling;Milling;Inspection,0,2,0,0,0,0,0,1,4
P028,Plastic,Slot,0.05mm,979,Milling;Drilling;Deburring;Inspection,2,2,0,1,0,0,0,0,6
P029,Titanium,Groove;Pocket;Slot,0.1mm,783,Facing;Drilling;Grinding;Deburring;Inspection,4,1,0,1,0,1,1,0,1
P030,Steel,Thread;Pocket;Chamfer,0.05mm,931,Facing;Center_Drilling;Drilling;Reaming;Inspection,3,2,0,0,1,1,0,1,0
P031,Aluminum,Slot,0.005mm,356,Facing;Drilling;Milling;Inspection,0,5,0,1,0,0,0,0,4
P032,Plastic,Groove,0.01mm,17,Milling;Drilling;Deburring;Inspection,2,4,0,0,0,0,1,0,6
P033,Aluminum,Hole,0.005mm,890,Facing;Drilling;Milling;Inspection,0,5,1,0,0,0,0,0,4
P034,Plastic,Thread,0.05mm,229,Milling;Drilling;Deburring;Inspection,2,2,0,0,1,0,0,0,6
P035,Plastic,Pocket;Slot;Chamfer,0.05mm,204,Milling;Drilling;Deburring;Inspection,2,2,0,1,0,1,0,1,6
P036,Brass,Pocket;Chamfer,0.05mm,894,Turning;Threading;Chamfering;Inspection,1,2,0,0,0,1,0,1,7
P037,Aluminum,Pocket,0.02mm,829,Facing;Drilling;Milling;Deburring;Inspection,0,3,0,0,0,1,0,0,3
P038,Steel,Slot,0.1mm,469,Facing;Center_Drilling;Drilling;Reaming;Inspection,3,1,0,1,0,0,0,0,0
P039,Steel,Pocket;Slot,0.005mm,463,Facing;Center_Drilling;Drilling;Reaming;Inspection,3,5,0,1,0,1,0,0,0
P040,Plastic,Hole,0.1mm,866,Milling;Drilling;Deburring;Inspection,2,1,1,0,0,0,0,0,6
P041,Aluminum,Slot,0.05mm,507,Facing;Drilling;Milling;Inspection,0,2,0,1,0,0,0,0,4
P042,Brass,Slot,0.05mm,12,Turning;Threading;Chamfering;Inspection,1,2,0,1,0,0,0,0,7
P043,Titanium,Thread;Pocket,0.1mm,687,Facing;Drilling;Grinding;Deburring;Inspection,4,1,0,0,1,1,0,0,1
P044,Steel,Thread,0.01mm,69,Facing;Center_Drilling;Drilling;Reaming;Inspection,3,4,0,0,1,0,0,0,0
P045,Plastic,Chamfer,0.02mm,68,Milling;Drilling;Deburring;Inspection,2,3,0,0,0,0,0,1,6
P046,Brass,Groove;Slot;Hole,0.1mm,92,Turning;Threading;Chamfering;Inspection,1,1,1,1,0,0,1,0,7
P047,Aluminum,Hole;Slot;Pocket,0.005mm,974,Facing;Drilling;Milling;Deburring;Inspection,0,5,1,1,0,1,0,0,3
P048,Steel,Groove;Hole;Chamfer,0.05mm,683,Facing;Center_Drilling;Drilling;Reaming;Inspection,3,2,1,0,0,0,1,1,0
P049,Plastic,Thread;Slot,0.02mm,254,Milling;Drilling;Deburring;Inspection,2,3,0,1,1,0,0,0,6
P050,Steel,Chamfer;Thread;Pocket,0.02mm,961,Facing;Center_Drilling;Drilling;Reaming;Inspection,3,3,0,0,1,1,0,1,0
P051,Aluminum,Pocket,0.1mm,586,Facing;Drilling;Milling;Deburring;Inspection,0,1,0,0,0,1,0,0,3
P052,Aluminum,Slot;Groove;Thread,0.01mm,965,Facing;Drilling;Milling;Inspection,0,4,0,1,1,0,1,0,4
P053,Aluminum,Thread,0.02mm,171,Facing;Drilling;Milling;Inspection,0,3,0,0,1,0,0,0,4
P054,Plastic,Thread;Groove;Hole,0.1mm,316,Milling;Drilling;Deburring;Deburring;Inspection,2,1,1,0,1,0,1,0,5
P055,Aluminum,Thread,0.005mm,921,Facing;Drilling;Milling;Inspection,0,5,0,0,1,0,0,0,4
P056,Plastic,Thread,0.02mm,629,Milling;Drilling;Deburring;Inspection,2,3,0,0,1,0,0,0,6
P057,Titanium,Chamfer,0.02mm,527,Facing;Drilling;Grinding;Inspection,4,3,0,0,0,0,0,1,2
P058,Aluminum,Chamfer,0.05mm,859,Facing;Drilling;Milling;Inspection,0,2,0,0,0,0,0,1,4
P059,Aluminum,Slot;Thread,0.01mm,769,Facing;Drilling;Milling;Inspection,0,4,0,1,1,0,0,0,4
P060,Brass,Hole;Chamfer;Groove,0.01mm,568,Turning;Threading;Chamfering;Inspection,1,4,1,0,0,0,1,1,7
P061,Titanium,Groove;Slot;Pocket,0.01mm,52,Facing;Drilling;Grinding;Inspection,4,4,0,1,0,1,1,0,2
P062,Aluminum,Slot;Chamfer,0.005mm,372,Facing;Drilling;Milling;Deburring;Inspection,0,5,0,1,0,0,0,1,3
P063,Brass,Chamfer;Slot;Groove,0.01mm,829,Turning;Threading;Chamfering;Inspection,1,4,0,1,0,0,1,1,7
P064,Brass,Slot,0.02mm,811,Turning;Threading;Chamfering;Inspection,1,3,0,1,0,0,0,0,7
P065,Steel,Slot;Hole,0.05mm,903,Facing;Center_Drilling;Drilling;Reaming;Inspection,3,2,1,1,0,0,0,0,0
P066,Brass,Slot,0.05mm,368,Turning;Threading;Chamfering;Inspection,1,2,0,1,0,0,0,0,7
P067,Steel,Hole,0.01mm,418,Facing;Center_Drilling;Drilling;Reaming;Inspection,3,4,1,0,0,0,0,0,0
P068,Aluminum,Thread;Groove,0.05mm,705,Facing;Drilling;Milling;Deburring;Inspection,0,2,0,0,1,0,1,0,3
P069,Plastic,Hole;Chamfer,0.02mm,192,Milling;Drilling;Deburring;Inspection,2,3,1,0,0,0,0,1,6
P070,Titanium,Hole,0.1mm,454,Facing;Drilling;Grinding;Inspection,4,1,1,0,0,0,0,0,2
P071,Titanium,Groove;Chamfer,0.005mm,404,Facing;Drilling;Grinding;Deburring;Inspection,4,5,0,0,0,0,1,1,1
P072,Steel,Hole;Pocket,0.005mm,542,Facing;Center_Drilling;Drilling;Reaming;Inspection,3,5,1,0,0,1,0,0,0
P073,Plastic,Chamfer;Slot;Thread,0.05mm,81,Milling;Drilling;Deburring;Deburring;Inspection,2,2,0,1,1,0,0,1,5
P074,Titanium,Thread;Hole;Chamfer,0.1mm,326,Facing;Drilling;Grinding;Inspection,4,1,1,0,1,0,0,1,2
P075,Titanium,Chamfer;Thread,0.1mm,140,Facing;Drilling;Grinding;Inspection,4,1,0,0,1,0,0,1,2
P076,Brass,Chamfer;Slot;Thread,0.05mm,571,Turning;Threading;Chamfering;Inspection,1,2,0,1,1,0,0,1,7
P077,Titanium,Slot;Pocket,0.1mm,631,Facing;Drilling;Grinding;Inspection,4,1,0,1,0,1,0,0,2
P078,Brass,Pocket;Slot,0.1mm,494,Turning;Threading;Chamfering;Inspection,1,1,0,1,0,1,0,0,7
P079,Steel,Hole;Thread;Groove,0.005mm,848,Facing;Center_Drilling;Drilling;Reaming;Inspection,3,5,1,0,1,0,1,0,0
P080,Steel,Thread;Slot;Groove,0.01mm,35,Facing;Center_Drilling;Drilling;Reaming;Inspection,3,4,0,1,1,0,1,0,0
P081,Brass,Hole;Pocket;Groove,0.1mm,209,Turning;Threading;Chamfering;Inspection,1,1,1,0,0,1,1,0,7
P082,Brass,Pocket;Slot,0.01mm,681,Turning;Threading;Chamfering;Inspection,1,4,0,1,0,1,0,0,7
P083,Aluminum,Slot;Chamfer,0.1mm,485,Facing;Drilling;Milling;Inspection,0,1,0,1,0,0,0,1,4
P084,Steel,Pocket,0.01mm,830,Facing;Center_Drilling;Drilling;Reaming;Inspection,3,4,0,0,0,1,0,0,0
P085,Plastic,Groove;Thread;Pocket,0.1mm,844,Milling;Drilling;Deburring;Deburring;Inspection,2,1,0,0,1,1,1,0,5
P086,Plastic,Groove;Pocket,0.01mm,771,Milling;Drilling;Deburring;Deburring;Inspection,2,4,0,0,0,1,1,0,5
P087,Brass,Slot;Thread,0.1mm,506,Turning;Threading;Chamfering;Inspection,1,1,0,1,1,0,0,0,7
P088,Titanium,Hole;Thread,0.01mm,288,Facing;Drilling;Grinding;Inspection,4,4,1,0,1,0,0,0,2
P089,Plastic,Slot,0.01mm,246,Milling;Drilling;Deburring;Inspection,2,4,0,1,0,0,0,0,6
P090,Steel,Slot;Hole;Pocket,0.05mm,348,Facing;Center_Drilling;Drilling;Reaming;Inspection,3,2,1,1,0,1,0,0,0
P091,Brass,Slot,0.05mm,408,Turning;Threading;Chamfering;Inspection,1,2,0,1,0,0,0,0,7
P092,Plastic,Hole;Groove;Pocket,0.05mm,16,Milling;Drilling;Deburring;Deburring;Inspection,2,2,1,0,0,1,1,0,5
P093,Titanium,Pocket;Groove,0.1mm,829,Facing;Drilling;Grinding;Inspection,4,1,0,0,0,1,1,0,2
P094,Steel,Slot;Thread,0.05mm,507,Facing;Center_Drilling;Drilling;Reaming;Inspection,3,2,0,1,1,0,0,0,0
P095,Titanium,Chamfer;Pocket;Slot,0.05mm,951,Facing;Drilling;Grinding;Inspection,4,2,0,1,0,1,0,1,2
P096,Plastic,Hole;Pocket;Chamfer,0.005mm,668,Milling;Drilling;Deburring;Inspection,2,5,1,0,0,1,0,1,6
P097,Brass,Hole,0.02mm,398,Turning;Threading;Chamfering;Inspection,1,3,1,0,0,0,0,0,7
P098,Brass,Thread;Pocket,0.02mm,780,Turning;Threading;Chamfering;Inspection,1,3,0,0,1,1,0,0,7
P099,Brass,Hole;Pocket,0.005mm,777,Turning;Threading;Chamfering;Inspection,1,5,1,0,0,1,0,0,7
P100,Titanium,Chamfer,0.005mm,809,Facing;Drilling;Grinding;Deburring;Inspection,4,5,0,0,0,0,0,1,1
